"KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","PseudoT2","Beale","Ratkowsky","Ball","PtBiserial","Gap","Frey","McClain","Gamma","Gplus","Tau","Dunn","Hubert","SDindex","Dindex","SDbw"
9,9,7,9,7,4,5,4,9,9,6,7,9,2,2,2,4,3,7,2,1,2,9,9,3,9,0,7,0,10
516.6432,59.8535,17.796,1.5128,36.7657,5557.1114,791.9713,21.3866,16.2985,-4.7525,0.1771,0.5584,0.5127,0.8112,4.888,0.2172,0.4234,30.5415,0.5095,-0.4964,NA,0.667,0.9563,1.2339,71.6472,0.3851,0,1.4482,0,0.0378
