PC1,PC2,Estado,Cluster,Silhouette
-2.215156053522341,1.2427811901635426,AGS,C1,0.6914731959410518
-0.64778214368617,0.3562316216285716,BC,C5,0.634461301582593
-2.059078877203423,-1.4097131023103475,BCS,C9,0.6536774952030378
-1.6823467837598818,-0.8871130208474604,CAMP,C9,0.6788606366473895
-0.453269855830653,-0.7826486583698592,COAH,C2,0.5530134868321849
-2.187795984988751,0.6467085057995683,COL,C1,0.6775182702656485
2.473920137182289,-1.369829240047696,CHIS,C8,0.6338286207964094
0.27326283665133083,-1.099452011939067,CHIH,C2,0.6869497549786755
0.6694738873838537,6.046611891659917,CDMX,C4,0.5
-1.0061658345374074,-1.005297732213599,DGO,C9,0.6015827352451066
1.495882505842051,0.4892228036273432,GTO,C7,0.6798068889165656
1.5973806361933924,-1.8377685806812947,GRO,C8,0.6622419030524025
0.3096897306971542,-0.6993148287590566,HGO,C2,0.669343234209876
1.1430657805995112,1.5471440183127347,JAL,C7,0.6591186407701489
5.0606248066152855,3.0854124767023436,MEX,C3,0.5
1.205513144038873,-0.5198953682432779,MICH,C2,0.49895895011579355
-1.8066137075861,1.257943429954171,MOR,C1,0.6761744260159226
-1.7084150672255956,-0.027409189726111116,NAY,C9,0.4932628272114732
-0.7218151908995101,1.713417331623665,NL,C5,0.5005688311972397
1.2510729905492892,-1.547660798467942,OAX,C8,0.5958413885379046
1.1848633861530358,0.7312246200354392,PUE,C7,0.6943941693902311
-1.5783071207696477,0.8945745726808947,QRO,C1,0.6484792999583919
-0.4573412744983628,-1.4816835685031982,Q_ROO,C2,0.5913574097212321
0.4128744898149009,-1.2493979010119676,SLP,C2,0.6709943659808123
0.26251594654631477,-1.1883226027127416,SIN,C2,0.6864036687959895
-0.12484252626741955,-1.4275617757801986,SON,C2,0.6602386773819481
-0.7747448841083753,0.166457290288154,TAB,C5,0.5957187105751515
0.5379856566659421,-1.3438157647238593,TAMPS,C2,0.6410486675843987
-2.201576104347916,1.1480440223183983,TLAX,C1,0.6957419490684502
4.488626015773403,-1.44252338521327,VER,C6,0.5
-1.6095798105144425,0.6147630717921917,YUC,C1,0.6285773402261139
-1.1319207309606305,-0.6211293170359896,ZAC,C9,0.6397000494312489
