PC1,PC2,Estado,Cluster
-2.215156053522341,1.2427811901635426,AGS,C1
-0.64778214368617,0.3562316216285716,BC,C1
-2.059078877203423,-1.4097131023103475,BCS,C1
-1.6823467837598818,-0.8871130208474604,CAMP,C1
-0.453269855830653,-0.7826486583698592,COAH,C1
-2.187795984988751,0.6467085057995683,COL,C1
2.473920137182289,-1.369829240047696,CHIS,C2
0.27326283665133083,-1.099452011939067,CHIH,C2
0.6694738873838537,6.046611891659917,CDMX,C3
-1.0061658345374074,-1.005297732213599,DGO,C1
1.495882505842051,0.4892228036273432,GTO,C2
1.5973806361933924,-1.8377685806812947,GRO,C2
0.3096897306971542,-0.6993148287590566,HGO,C2
1.1430657805995112,1.5471440183127347,JAL,C2
5.0606248066152855,3.0854124767023436,MEX,C4
1.205513144038873,-0.5198953682432779,MICH,C2
-1.8066137075861,1.257943429954171,MOR,C1
-1.7084150672255956,-0.027409189726111116,NAY,C1
-0.7218151908995101,1.713417331623665,NL,C1
1.2510729905492892,-1.547660798467942,OAX,C2
1.1848633861530358,0.7312246200354392,PUE,C2
-1.5783071207696477,0.8945745726808947,QRO,C1
-0.4573412744983628,-1.4816835685031982,Q_ROO,C2
0.4128744898149009,-1.2493979010119676,SLP,C2
0.26251594654631477,-1.1883226027127416,SIN,C2
-0.12484252626741955,-1.4275617757801986,SON,C2
-0.7747448841083753,0.166457290288154,TAB,C1
0.5379856566659421,-1.3438157647238593,TAMPS,C2
-2.201576104347916,1.1480440223183983,TLAX,C1
4.488626015773403,-1.44252338521327,VER,C4
-1.6095798105144425,0.6147630717921917,YUC,C1
-1.1319207309606305,-0.6211293170359896,ZAC,C1
